id,name,stock_count,article_count,total_invested
20,科技股,67,105,642196167294.0645
8,台股個股,70,113,459089201823.60394
29,電子零組件,76,108,342241137205.6805
7,半導操作,107,132,278839878497.3074
18,生技半導,51,85,194622317220.0751
23,航運股,47,84,177926038169.6899
30,高股息配發,167,207,161828854289.126
4,光電技術,76,98,124894257687.68405
21,總經大盤,44,105,117069761283.72343
1,上市事件,109,126,112309718108.43489
9,台股投資,87,135,106546687997.60414
2,個股追蹤,76,93,82775628424.98914
13,存股配息,94,111,73469000446.84642
26,金融配息,57,64,72435783662.75009
3,光電半導,103,121,68891915826.1584
28,電子配息,18,19,54128916581.872574
27,除息基準日,26,32,52411542941.77762
24,航運運價,47,56,51698245071.52584
11,增資減資,26,36,50634083131.658066
15,晶片政策,20,45,48883089441.03685
10,基本面,60,74,47204144339.37562
25,違約交割,13,14,41507838430.360085
14,日內交易,12,22,40078646526.88001
16,法說會,13,17,29905751096.572845
17,特殊題材,46,61,26621736873.195614
22,股東紀念品,27,32,25916383060.728752
5,加密貨幣,9,19,12842908114.199465
12,大盤指數,31,42,4516864980.025884
19,生技新藥,10,19,2028743067.0387945
6,勞退基金,6,6,155880916.42685318
